Età	Stato civile	Tipo di indicatore demografico	Territorio	Seleziona periodo	Sesso	0	Flags
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2013"	"totale"	1905	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2014"	"totale"	1918	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2015"	"totale"	1906	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2016"	"totale"	1726	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Vercelli"	"2017"	"totale"	1736	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2012"	"maschi"	948	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2013"	"maschi"	892	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2014"	"maschi"	848	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2015"	"maschi"	859	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2016"	"maschi"	830	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2017"	"maschi"	838	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2012"	"femmine"	935	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2013"	"femmine"	1005	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2014"	"femmine"	913	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2015"	"femmine"	903	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2016"	"femmine"	758	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2017"	"femmine"	783	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2012"	"totale"	1883	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2013"	"totale"	1897	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2014"	"totale"	1761	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2015"	"totale"	1762	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2016"	"totale"	1588	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Biella"	"2017"	"totale"	1621	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2012"	"maschi"	919	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2013"	"maschi"	812	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2014"	"maschi"	830	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2015"	"maschi"	815	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2016"	"maschi"	799	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2017"	"maschi"	749	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2012"	"femmine"	819	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2013"	"femmine"	835	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2014"	"femmine"	763	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2015"	"femmine"	783	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2016"	"femmine"	749	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2017"	"femmine"	741	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2012"	"totale"	1738	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2013"	"totale"	1647	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2014"	"totale"	1593	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2015"	"totale"	1598	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2016"	"totale"	1548	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Verbano-Cusio-Ossola"	"2017"	"totale"	1490	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2012"	"maschi"	2312	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2013"	"maschi"	2308	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2014"	"maschi"	2326	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2015"	"maschi"	2202	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2016"	"maschi"	2179	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2017"	"maschi"	1993	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2012"	"femmine"	2259	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2013"	"femmine"	2192	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2014"	"femmine"	2231	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2015"	"femmine"	2134	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2016"	"femmine"	2124	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2017"	"femmine"	1920	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2012"	"totale"	4571	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2013"	"totale"	4500	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2014"	"totale"	4557	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2015"	"totale"	4336	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2016"	"totale"	4303	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Novara"	"2017"	"totale"	3913	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2012"	"maschi"	3538	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2013"	"maschi"	3569	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2014"	"maschi"	3458	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2015"	"maschi"	3483	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2016"	"maschi"	3382	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2017"	"maschi"	3215	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2012"	"femmine"	3443	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2013"	"femmine"	3535	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2014"	"femmine"	3331	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2015"	"femmine"	3303	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2016"	"femmine"	3212	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2017"	"femmine"	3141	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2012"	"totale"	6981	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2013"	"totale"	7104	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2014"	"totale"	6789	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2015"	"totale"	6786	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2016"	"totale"	6594	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Cuneo"	"2017"	"totale"	6356	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2012"	"maschi"	1252	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2013"	"maschi"	1196	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2014"	"maschi"	1147	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2015"	"maschi"	1138	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2016"	"maschi"	1091	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2017"	"maschi"	1105	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2012"	"femmine"	1236	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2013"	"femmine"	1175	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2014"	"femmine"	1210	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2015"	"femmine"	1167	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2016"	"femmine"	1144	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2017"	"femmine"	1038	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2012"	"totale"	2488	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2013"	"totale"	2371	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2014"	"totale"	2357	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2015"	"totale"	2305	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2016"	"totale"	2235	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Asti"	"2017"	"totale"	2143	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2012"	"maschi"	2221	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2013"	"maschi"	2277	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2014"	"maschi"	2256	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2015"	"maschi"	2252	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2016"	"maschi"	2133	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2017"	"maschi"	2040	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2012"	"femmine"	2259	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2013"	"femmine"	2203	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2014"	"femmine"	2199	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2015"	"femmine"	2218	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2016"	"femmine"	2110	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2017"	"femmine"	2142	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2012"	"totale"	4480	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2013"	"totale"	4480	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2014"	"totale"	4455	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2015"	"totale"	4470	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2016"	"totale"	4243	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Alessandria"	"2017"	"totale"	4182	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2012"	"maschi"	731	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2013"	"maschi"	776	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2014"	"maschi"	666	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2015"	"maschi"	697	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2016"	"maschi"	709	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2017"	"maschi"	667	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2012"	"femmine"	689	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2013"	"femmine"	733	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2014"	"femmine"	689	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2015"	"femmine"	735	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2016"	"femmine"	690	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2017"	"femmine"	651	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2012"	"totale"	1420	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2013"	"totale"	1509	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2014"	"totale"	1355	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2015"	"totale"	1432	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2016"	"totale"	1399	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2017"	"totale"	1318	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2012"	"maschi"	731	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2013"	"maschi"	776	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2014"	"maschi"	666	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2015"	"maschi"	697	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2016"	"maschi"	709	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2017"	"maschi"	667	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2012"	"femmine"	689	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2013"	"femmine"	733	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2014"	"femmine"	689	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2015"	"femmine"	735	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2016"	"femmine"	690	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2017"	"femmine"	651	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2012"	"totale"	1420	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2013"	"totale"	1509	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2014"	"totale"	1355	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2015"	"totale"	1432	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2016"	"totale"	1399	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Valle d'Aosta / Vallée d'Aoste"	"2017"	"totale"	1318	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2012"	"maschi"	7652	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2013"	"maschi"	7335	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2014"	"maschi"	7911	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2015"	"maschi"	7662	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2016"	"maschi"	7613	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2017"	"maschi"	7420	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2012"	"femmine"	8050	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2013"	"femmine"	7496	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2014"	"femmine"	7776	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2015"	"femmine"	7352	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2016"	"femmine"	7292	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2017"	"femmine"	7223	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2012"	"totale"	15702	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2013"	"totale"	14831	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2014"	"totale"	15687	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2015"	"totale"	15014	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2016"	"totale"	14905	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Liguria"	"2017"	"totale"	14643	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2012"	"maschi"	1055	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2013"	"maschi"	1057	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2014"	"maschi"	1127	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2015"	"maschi"	1049	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2016"	"maschi"	1069	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2017"	"maschi"	1040	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2012"	"femmine"	1033	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2013"	"femmine"	1068	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2014"	"femmine"	1076	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2015"	"femmine"	1010	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2016"	"femmine"	1016	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2017"	"femmine"	949	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2012"	"totale"	2088	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2013"	"totale"	2125	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2014"	"totale"	2203	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2015"	"totale"	2059	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2016"	"totale"	2085	
"32 anni"	"totale"	"popolazione al 1º gennaio"	"Imperia"	"2017"	"totale"	1989	
